,content,topics
56,is method also called to wrapper method,56_Lecture_13__Feature_Selection.wav
57,what the features of set,57_Lecture_13__Feature_Selection.wav
58,physical supervised methods or wrapper method,58_Lecture_13__Feature_Selection.wav
59,latest look,59_Lecture_13__Feature_Selection.wav
60,so let's look at as I said the feature selection is an Optimisation problem you have a search algorithm have an objective function and you are trying to optimise,60_Lecture_13__Feature_Selection.wav
61,here the search algorithm will select a feature subset and score it on the objective function and find the goodness of the feature success based on this it will decide which part of the search space,61_Lecture_13__Feature_Selection.wav
62,this module is completed you get a final feature subset and this final feature subset is used by your machine learning or pattern,62_Lecture_13__Feature_Selection.wav
63,optimal on near optimal with respect to the object,63_Lecture_13__Feature_Selection.wav
64,,64_Lecture_13__Feature_Selection.wav
65,by two methods in supervised methods or wrapper methods We trained using the selected subset and we estimate the error on the validation set in unsupervised of filter methods will look at only the input and we select the substance which has the,65_Lecture_13__Feature_Selection.wav
66,types of methods illustrated,66_Lecture_13__Feature_Selection.wav
67,,67_Lecture_13__Feature_Selection.wav
68,comes up with a feature subset that is evaluated for information contact and based on that search algorithm process and finally this module gives a fine,68_Lecture_13__Feature_Selection.wav
69,method of supervised method the search algorithm outputs a feature subset which is again used with a pattern recognition and machine learning algorithm and the prediction accuracy is obtained which is fed to the surcharge and after the phone module is completed you have a feature subset,69_Lecture_13__Feature_Selection.wav
70,different methods of two different frameworks of feature selection now how do you do the feature selection after so first of all what you can do is,70_Lecture_13__Feature_Selection.wav
71,features of redundant you may not use all the features so you can find an cold,71_Lecture_13__Feature_Selection.wav
72,some features and then when you try to introduce the new feature you do not take the teacher if that feature is highly correlated with another feature which already contains the information about that feature so you select only uncorrelated,72_Lecture_13__Feature_Selection.wav
73,so you have to select encoder,73_Lecture_13__Feature_Selection.wav
74,also have to eliminate retarded,74_Lecture_13__Feature_Selection.wav
75,that we can use to frame words for your district a simple heuristic algorithm for feature subset selection that is forward selection algorithm and backwards,75_Lecture_13__Feature_Selection.wav
76,,76_Lecture_13__Feature_Selection.wav
77,forward selection algorithm you start with empty pictures set and we add feature one at a time so you start from an empty set of features that lets first write about the forward select,77_Lecture_13__Feature_Selection.wav
78,,78_Lecture_13__Feature_Selection.wav
79,start with empty features,79_Lecture_13__Feature_Selection.wav
80,Aaj features one by,80_Lecture_13__Feature_Selection.wav
81,try each of the remaining fees,81_Lecture_13__Feature_Selection.wav
82,them you estimate that you,82_Lecture_13__Feature_Selection.wav
83,the classification or regression,83_Lecture_13__Feature_Selection.wav
84,each specific,84_Lecture_13__Feature_Selection.wav
85,teacher,85_Lecture_13__Feature_Selection.wav
86,gives maximum in,86_Lecture_13__Feature_Selection.wav
87,improvement you can use the validation set and not the training set as we have discussed earlier so you can stop when there is no significant,87_Lecture_13__Feature_Selection.wav
88,MPPSC set at features one by one when you add a feature you try to evaluate the result of adding all the features and select that features whose addition next the maximum improvement and you continue this process until adding a feature does not give rise to,88_Lecture_13__Feature_Selection.wav
89,half backward search,89_Lecture_13__Feature_Selection.wav
90,backward search what should you start with in backward search you start with the full features,90_Lecture_13__Feature_Selection.wav
91,you try removing,91_Lecture_13__Feature_Selection.wav
92,try removing feature,92_Lecture_13__Feature_Selection.wav
93,features that you have to find that feature whose removal gives rise to maximum improvement in of,93_Lecture_13__Feature_Selection.wav
94,you try removing it drop the feature,94_Lecture_13__Feature_Selection.wav
95,you dropped the feature with the smallest,95_Lecture_13__Feature_Selection.wav
96,smallest impact,96_Lecture_13__Feature_Selection.wav
97,for backward search to find the feature,97_Lecture_13__Feature_Selection.wav
98,selection Method can we univariate method which look at one feature at a time or can we multivariate feature in univariate features methods so why we who is that we look at each feature independently of the other features for this week and look for some different methods for example Pearson,98_Lecture_13__Feature_Selection.wav
99,4 types ware signal-to-noise ratio mutual information at 17 and based on the method that will select we will write the features by importance and the user will select the cutoff and we will take the top and features about the cutoff for top features top few features of features which have rank above the cutoff I will just talked about one or two up,99_Lecture_13__Feature_Selection.wav
100,method basically what they do is that the measures some type of correlation between two random variables in this case a measuring the correlation between or feature between a particular feature and the target variable and the key features which have higher,100_Lecture_13__Feature_Selection.wav
101,correlation Coefficient measures the correlation correlation is given by the following,101_Lecture_13__Feature_Selection.wav
102,Sigma over all the training examples,102_Lecture_13__Feature_Selection.wav
103,random variable exercise which is a feature why bar is the random variable average of the random,103_Lecture_13__Feature_Selection.wav
104,value is between + 1 and -1 + 5 means perfect positive correlation -1 means perfect negative correlation both Plus and minus 1 + 2 + 1 and -1 means highly correlated closer to zero means no correlation so you want to select features switch off hai positive for hai,104_Lecture_13__Feature_Selection.wav
105,,105_Lecture_13__Feature_Selection.wav
106,,106_Lecture_13__Feature_Selection.wav
107,points correlation is -1 for this point correlation is between 0 and -1 for these points for relation is between,107_Lecture_13__Feature_Selection.wav
108,and for 30 points,108_Lecture_13__Feature_Selection.wav
109,relation Coefficient briefly mention another method for signal to noise ratio which measures the difference in means divided by the difference in standard deviation between the two classes and the formula is given by X - 2y divided by x minus 1 by and large values indicate a strong correlation so for every feature you can find the value of a seminar on with Y and then sort them according to this value and select the largest values or those values which are ab,109_Lecture_13__Feature_Selection.wav
110,to the univariate selection methods we also have multivariate selection methods in multivariate selection methods they consider all the features for example we have talked about linear regression for Linear regression will find a set of weights we are in our class we refer to those with beta 0 Beta 1 Beta 2 Beta in which are the coefficients of the n attributes on the value of the bias the classification of a point is given by,110_Lecture_13__Feature_Selection.wav
111,mission of the line and the coefficient matrix is given by w transport you look at the values of this Matrix if w is small the corresponding feature if you have w i x l and w small excise has less contribution to Wi-Fi but if w is large XI has large contribution to buy effexor w i small letters,111_Lecture_13__Feature_Selection.wav
112,example if w values are 10.01 -9 the ones whose the X features of coefficients at 10 and -9 they have high contribution to the output but the one with Coefficient point zero one has low,112_Lecture_13__Feature_Selection.wav
113,,113_Lecture_13__Feature_Selection.wav
114,,114_Lecture_13__Feature_Selection.wav
115,the w can be obtained by any of linear classifier for example we have seen a method in our class a variant of this multivariate feature selection approach is called recursive feature elimination in recursive feature elimination to compute the w on all the features and you remove the feature with the smallest,115_Lecture_13__Feature_Selection.wav
116,w on the new state university and features you remove the creature with the smallest w you are left with n -1 features on this and -1 features you recompute w by invoking algorithm again and recursively you keep doing this until the store,116_Lecture_13__Feature_Selection.wav
117,multivariate feature selection with us we come to the end of today's lecture in the next volume which part we will talk about feature extraction,117_Lecture_13__Feature_Selection.wav
